"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"16","CCE","2024-08-05","Dry Creek","DrCr2","C",0.1,24,"Mineral,Water",98,"Frozen Ground",37,"Mineral,Water",4.5,10,NA,"yes","DrCr2C",21,23,11,12,19,9,"",5,5,"Core","","","d8912997-6e53-4d57-87a4-6f86dbb7b11a"
"17","CCE","2024-07-25","Haystack","Hays6","A",NA,7,"Mineral,Rock",24,"Rock",3.5,"Mineral",13.5,11.5,NA,"yes","Hays6A",6.5,6,13,12,10,9.5,"",0,0,NA,"No mineral soil sample taken too rocky and unable to remove rock","",""
"18","CCE","2024-07-28","McCoy Creek","McCr1","B",NA,27,"Mineral",39,"Frozen Ground",27,"Mineral",3,5.5,NA,"yes","McCr1B",23.5,21,10,9,12,12,"Bottom 2.5 cm organic came off with corer, in own bag for processing",5,5,"Core","Top 2 cm mineral mixed with organic","Sampling between tussocks, very wet, standing water at 30 cm depth, AR hole depth same as sample depth",""
"19","CCE","2024-07-30","Nugget Creek","NuCr2","A",NA,36.5,"Rock",98,"Rock",25,"Mineral",19,17,1,"yes","NuCr2A",31,30,9,6,11.5,9,"",0,0,NA," Mineral soil not sampled, too rocky","Sampled at 3.1 m due to CWD, unable to sample mineral because too rocky.",""
"20","CCE","2024-07-29","McCoy Creek","McCr6","A",NA,28,"Mineral",68,"Frozen Ground",32,"Mineral",3.5,4,NA,"yes","McCr6A",23,25,12,8,10,11,"",5,5,"Core","","",""
"21","CCE","2024-08-02","Teklanika","Tekl5","C",0,7.5,"Mineral",57,"Rock",8,"Mineral",1,2,2,"yes","Tekl5C",6,7.5,10,10.5,10.5,10.5,"",5,5,"Core","","Too wet for labeling, rely on paper slips","7e805d36-618a-4ec5-a687-6d5983e3fd5b"
"22","CCE","2024-07-15","Lost Horse","LoHo3","C",NA,10.5,"Mineral,Rock",82,"Frozen Ground",4.5,"Mineral",22,20,21,"yes","LoHo3C",10,9.5,10,11,10,10,"",5,5,"Core","","",""
"23","CCE","2024-08-01","Munson Creek","MuCr3","C",3.5,29,"Mineral,Water",42,"Frozen Ground",27.5,"Mineral",6,10,NA,"yes","MuCr3C",24,26,12,11,10,9,"Unburned sphagnum. Take that into account when thinking about green moss. ",3,8,"Both","M1 came off with brownie. Depth of 3 but length and width of brownie. M2 taken with corer below. As sampling hole filled with water, so depth might not be accurate. Cored until frozen ground","","d4c9102e-27ec-4abe-955b-7dd96c08e17d"
"24","CCE","2024-07-30","Nugget Creek","NuCr2","C",NA,17,"Mineral",101,">100cm",8,"Mineral",22,20,NA,"yes","NuCr2C",17,18,8,5,9.5,9,"",4,0,"Core","M1 sample came off of bottom of organic sample, depth is estimated. Length and width are same dimensions as brownie. M2 sample taken as core below Very top of m1 mixed with organic, no m2 sample because too rocky to core. M1 was uneven, 5cm and 4cm","0.1m off transect to avoid cwd",""
"25","CCE","2024-08-04","Munson Creek","MuCr4","B",0,9,"Mineral",101,">100cm",9,"Mineral,Rock",14,24,20,"yes","MuCr4B",11,12,8.5,9.5,10,9,"Crumbly",5,5,"Core","","","26f0b36c-6aea-445e-a7ec-83194761c58b"
"26","CCE","2024-07-25","Haystack","Hays6","B",NA,12,"Mineral",46,"Rock",3,"Mineral",10,11.5,NA,"yes","Hays6B",9.5,10,11,10.5,11.5,10,"Bottom crumbly. Bottom 1.5 cm of organic came off with soil corer, in its own bag for processing.",5,5,"Core","","",""
"27","CCE","2024-07-15","Lost Horse","LoHo2","C",NA,6,"Mineral,Rock",67,"Rock",3.5,"Mineral",21,18,19,"yes","LoHo2C",7,5.5,8.5,10,9,NA,"",5,5,"Core","Big rock removed before mineral","",""
"28","CCE","2024-08-06","Dry Creek","DrCr5","B",0,9,"Mineral",60,"Mineral",7,"Mineral",10,12,11,"yes","DrCr5B",10,11.5,10,10.5,10,10,"",5,5,"Core","","Mineral too dense to probe further",""
"29","CCE","2024-08-03","Teklanika","Tekl2","C",0.1,6,"Mineral",101,">100cm",11,"Mineral",12,9,NA,"yes","Tekl2C",7,6.5,10,9,10,10,"",5,5,"Core","","",""
"30","CCE","2024-08-06","Dry Creek","DrCr6","A",0,16,"Mineral,Water",101,">100cm",16,"Mineral,Water",4,3,4,"yes","DrCr6A",20,20,7,7,8.5,8,"",6,4,"Core","","",""
"31","CCE","2024-07-15","Lost Horse","LoHo3","B",NA,9.5,"Mineral",120,">100cm,Rock",7.6,"Mineral",6,5,4.5,"yes","LoHo3B",8,7.5,10.5,11,10.5,11,"",5,5,"Core","","",""
"32","CCE","2024-08-02","Teklanika","Tekl5","A",0,9,"Mineral",58,"Rock",21,"Mineral",8,7,7,"yes","Tekl5A",7.5,8,9.5,9,9,10,"",5,5,"Core","","Very rainy, sharpie not working, rely on rite in rain paper slips","e4579ffd-b283-4ff6-8c78-ceac405c5a6e"
"33","CCE","2024-08-03","Teklanika","Tekl1","C",0,7,"Mineral,Rock",25,"Rock",9,"Mineral,Rock",3,2,NA,"yes","Tekl1C",7,7.5,10,10,9.5,9,"",5,5,"Both","M1 volumetric, but very rocky so medium confidence. Large rock of 3cm in sample. 2 cm of rock removed between m1 and m2. M2 grab sample due to rockiness ","","4b11a22e-efd3-4fc4-8922-8929e30e40e6"
"34","CCE","2024-08-02","Teklanika","Tekl6","B",0,13,"Mineral",60,"Rock",9,"Mineral",31,3,4.5,"yes","Tekl6B",14,11,9,9,10.5,10,"",5,5,"Core","","Sampled at 13.2 because of standing tree","fecfe12e-6d96-4300-b734-f5b0207189f7"
"35","CCE","2024-08-01","Munson Creek","MuCr1","A",0,15,"Mineral",49,"Rock",30,"Mineral",5.5,3.5,NA,"yes","MuCr1A",14,13.5,10,10,10,10.5,"",5,5,"Core","","",""
