"","project","date","fire_scar","ID","sample_id","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"95","CCE","2024-07-18","Lost Horse",147,"LoHo6A","M2",5,"Core","About 6 cm of rock removed between organic and mineral.",""
"96","CCE","2024-07-18","Lost Horse",149,"LoHo6B","M1",5,"Core","About 2cm of rocks removed between organic and mineral ",""
"97","CCE","2024-07-18","Lost Horse",150,"LoHo6B","M2",5,"Core","About 2cm of rocks removed between organic and mineral ",""
"98","CCE","2024-07-18","Lost Horse",152,"LoHo6C","M1",5,"Core","","Removed 6cm of rock between organic and mineral"
"99","CCE","2024-07-18","Lost Horse",153,"LoHo6C","M2",5,"Core","","Removed 6cm of rock between organic and mineral"
"100","CCE","2024-07-28","McCoy Creek",155,"McCr1A","M1",5,"Grab","Unable to core volumetrically, m1 sample is approximate depth grab sample from core estimated based on hole depth. No m2 sample.","Very wet, standing water while sampling, ar hole depth to mineral"
"101","CCE","2024-07-28","McCoy Creek",157,"McCr1B","M1",5,"Core","Top 2 cm mineral mixed with organic","Sampling between tussocks, very wet, standing water at 30 cm depth, AR hole depth same as sample depth"
"102","CCE","2024-07-28","McCoy Creek",158,"McCr1B","M2",5,"Core","Top 2 cm mineral mixed with organic","Sampling between tussocks, very wet, standing water at 30 cm depth, AR hole depth same as sample depth"
"103","CCE","2024-07-28","McCoy Creek",160,"McCr1C","M1",5,"Core","Char in mineral sample! Legacy c!",""
"104","CCE","2024-07-28","McCoy Creek",161,"McCr1C","M2",5,"Core","Char in mineral sample! Legacy c!",""
"105","CCE","2024-07-29","McCoy Creek",163,"McCr2A","M1",5,"Core","","Sampled between 2 tussocks"
"106","CCE","2024-07-29","McCoy Creek",164,"McCr2A","M2",5,"Core","","Sampled between 2 tussocks"
"107","CCE","2024-07-29","McCoy Creek",166,"McCr2B","M1",5,"Core","",""
"108","CCE","2024-07-29","McCoy Creek",167,"McCr2B","M2",5,"Core","",""
"109","CCE","2024-07-29","McCoy Creek",169,"McCr2C","M1",5,"Core","",""
"110","CCE","2024-07-29","McCoy Creek",170,"McCr2C","M2",5,"Core","",""
"111","CCE","2024-08-07","McCoy Creek",172,"McCr3A","M1",5,"Core","",""
"112","CCE","2024-08-07","McCoy Creek",173,"McCr3A","M2",5,"Core","",""
"113","CCE","2024-08-07","McCoy Creek",175,"McCr3B","M1",5,"Core","","Ar on downed tree"
"114","CCE","2024-08-07","McCoy Creek",176,"McCr3B","M2",5,"Core","","Ar on downed tree"
"115","CCE","2024-08-07","McCoy Creek",178,"McCr3C","M1",5,"Core","Hit frozen ground",""
"116","CCE","2024-08-07","McCoy Creek",179,"McCr3C","M2",5,"Core","Hit frozen ground",""
"117","CCE","2024-07-28","McCoy Creek",181,"McCr4A","M1",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"118","CCE","2024-07-28","McCoy Creek",182,"McCr4A","M2",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"119","CCE","2024-07-28","McCoy Creek",184,"McCr4B","M1",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"120","CCE","2024-07-28","McCoy Creek",185,"McCr4B","M2",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"121","CCE","2024-07-28","McCoy Creek",187,"McCr4C","M1",5,"Core","",""
"122","CCE","2024-07-28","McCoy Creek",188,"McCr4C","M2",5,"Core","",""
"123","CCE","2024-07-28","McCoy Creek",191,"McCr5B","M1",5,"Core","",""
"124","CCE","2024-07-28","McCoy Creek",192,"McCr5B","M2",5,"Core","",""
"125","CCE","2024-07-28","McCoy Creek",194,"McCr5C","M1",5,"Core","","No m2 sample, hit frozen ground at bottom of m1 sample"
"126","CCE","2024-07-29","McCoy Creek",196,"McCr6A","M1",5,"Core","",""
"127","CCE","2024-07-29","McCoy Creek",197,"McCr6A","M2",5,"Core","",""
"128","CCE","2024-07-29","McCoy Creek",199,"McCr6B","M1",5,"Core","",""
"129","CCE","2024-07-29","McCoy Creek",200,"McCr6B","M2",5,"Core","",""
