"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"219","CCE","2024-08-01","Munson Creek",219,"MuCr3A",NA,NA,NA,NA,NA,NA,NA,"M2",4.5,"Core","",""
"220","CCE","2024-08-01","Munson Creek",220,"MuCr3B",25,26,8,7,10,11,"","O",NA,NA,NA,""
"221","CCE","2024-08-01","Munson Creek",221,"MuCr3B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"222","CCE","2024-08-01","Munson Creek",222,"MuCr3B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"223","CCE","2024-08-01","Munson Creek",223,"MuCr3C",24,26,12,11,10,9,"Unburned sphagnum. Take that into account when thinking about green moss. ","O",NA,NA,NA,""
"224","CCE","2024-08-01","Munson Creek",224,"MuCr3C",NA,NA,NA,NA,NA,NA,NA,"M1",3,"Both","M1 came off with brownie. Depth of 3 but length and width of brownie. M2 taken with corer below. As sampling hole filled with water, so depth might not be accurate. Cored until frozen ground",""
"225","CCE","2024-08-01","Munson Creek",225,"MuCr3C",NA,NA,NA,NA,NA,NA,NA,"M2",8,"Both","M1 came off with brownie. Depth of 3 but length and width of brownie. M2 taken with corer below. As sampling hole filled with water, so depth might not be accurate. Cored until frozen ground",""
"226","CCE","2024-08-04","Munson Creek",226,"MuCr4A",6,5.5,10,10,10.5,10.5,"","O",NA,NA,NA,""
"227","CCE","2024-08-04","Munson Creek",227,"MuCr4A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"228","CCE","2024-08-04","Munson Creek",228,"MuCr4A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"229","CCE","2024-08-04","Munson Creek",229,"MuCr4B",11,12,8.5,9.5,10,9,"Crumbly","O",NA,NA,NA,""
"230","CCE","2024-08-04","Munson Creek",230,"MuCr4B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"231","CCE","2024-08-04","Munson Creek",231,"MuCr4B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"232","CCE","2024-08-04","Munson Creek",232,"MuCr4C",36.5,36.5,9,10.5,9.5,11,"","O",NA,NA,NA,""
"233","CCE","2024-08-04","Munson Creek",233,"MuCr4C",NA,NA,NA,NA,NA,NA,NA,"M1",6.5,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ",""
