date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
7/26/2025,Slate,SLAT3,C,6 m,,no,NA,NA,NA,NA,NA,NA,01fbec1b-3290-442f-b5c2-72040f2304fb
7/29/2025,McDonald,MCDO4,A,3 m,,yes,black spruce,3,All below 0.05. Tiny!,0.05,0.05,0.05,0066c0a6-d296-439e-af57-dfb4d18d462a
8/8/2025,Isom,ISOM3,A,6 m,,no,NA,NA,NA,NA,NA,NA,b1cc4558-10de-4844-aadc-93121e7342d8
7/31/2025,Globe,GLOB1,B,3 m,,yes,birch,1,,0.09,NA,NA,3b4b421a-5460-4194-983e-cd236fe72569
7/27/2025,Slate,SLAT6,C,6 m,,no,NA,NA,NA,NA,NA,NA,1a88f0eb-d594-4be2-a75b-9062211cb087
8/2/2025,Troublesome,TROU3,B,9 m,,no,NA,NA,NA,NA,NA,NA,d9a2f1ff-2ddf-4e31-a5ed-c86212974284
7/29/2025,McDonald,MCDO5,C,9 m,,no,NA,NA,NA,NA,NA,NA,e39986cd-4bb8-4153-9896-c373d601fcaa
8/8/2025,Isom,ISOM4,B,3 m,,no,NA,NA,NA,NA,NA,NA,1dbbfd9e-7b4d-4756-885c-bb46281340d9
7/31/2025,Globe,GLOB2,C,3 m,,yes,black spruce,2,Less than 0.05 bd,NA,NA,NA,b0d9b157-1264-4a58-bd41-f9501a296431
7/22/2025,Aggie,AGCR5,B,9 m,,yes,black spruce,31,,0.92,0.32,0.54,a50ca880-f6ff-4eb9-a299-7f4ddcb3b93b
8/1/2025,Yukon Creek,YUCR3,B,9 m,,no,NA,NA,NA,NA,NA,NA,1645756b-28a7-468c-8dd7-057c8fc39b92
7/21/2025,Aggie,AGCR1,B,6 m,,yes,black spruce,1,,1.21,NA,NA,30052869-fbcb-4da7-93ac-b4265b1a7388
7/21/2025,Aggie,AGCR1,B,6 m,,yes,birch,1,,1.16,NA,NA,30052869-fbcb-4da7-93ac-b4265b1a7388
7/23/2025,Globe,GLOB5,C,9 m,,yes,black spruce,8,,0.02,0.04,0.04,38d3918f-3363-4181-949f-62cc6db4b070
8/2/2025,Troublesome,TROU1,C,9 m,,no,NA,NA,NA,NA,NA,NA,09a886cc-a7c0-4286-ac88-d4cd87a68c87
8/8/2025,Isom,ISOM1,B,6 m,,no,NA,NA,NA,NA,NA,NA,138bf8f4-60db-49e5-a2dd-3c2e434c60f2
7/27/2025,Slate,SLAT6,B,9 m,,yes,aspen,1,,0.37,NA,NA,f8b9ac43-3d96-46fd-a3b8-c8bc9c6b3809
7/23/2025,Globe,GLOB4,B,6 m,,yes,birch,3,,0.11,0.05,0.03,3d40449c-e3b9-467f-a8c0-6c8076d60fff
7/27/2025,Slate,SLAT6,A,6 m,,no,NA,NA,NA,NA,NA,NA,fd8d17d7-7bae-4d96-8cd0-ba6d7529b77c
