date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
8/2/25,Troublesome,TROU1,A,TROU1A9,9,0,10,"Mineral,Rock",36,Rock,14,"Mineral,Rock",9,7,5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT1,A,SLAT1A6,6,0,8.5,Mineral,77,Frozen Ground,10.5,Mineral,9.5,12,8,yes,A6,9,9.5,10,10.5,10.5,11,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT1,A,SLAT1A3,3,0,27.5,Mineral,65,Frozen Ground,27.5,Mineral,1.5,1,2,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT1,A,SLAT1A9,9,0,47,"Frozen Ground,Mineral,Water",54,Frozen Ground,40,"Frozen Ground,Mineral,Water",2,2,1,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM3,B,ISOM3B3,3,0,17,Mineral,102,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM3,B,ISOM3B6,6,0.1,14,Mineral,120,>100cm,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM3,B,ISOM3B9,9,0,13.5,Mineral,120,>100cm,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM2,C,ISOM2C3,3,4,37,Mineral,62,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM2,C,ISOM2C6,6,1,25,Mineral,60,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM2,C,ISOM2C9,9,1,26,Mineral,51,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
