date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.3,NA,25,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,5.1,NA,25,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,5.1,NA,NA,25,25,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,5,NA,0,25,25,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,0.6,NA,NA,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,2.8,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,2,NA,50,50,25,25,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,5.2,NA,50,50,50,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,2.2,NA,25,25,0,0,25,NA,,"Split stem, looks like a half snag ",
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,2.7,NA,NA,25,25,25,0,NA,,,
7/23/2025,Globe,GLOB5,C,black spruce,yes,no,6.9,NA,NA,75,75,50,0,NA,,,
7/23/2025,Globe,GLOB5,C,black spruce,yes,no,12.8,NA,NA,75,75,75,0,NA,,,
7/23/2025,Globe,GLOB5,C,black spruce,yes,no,10.2,NA,25,75,75,75,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,4.4,NA,0,50,50,25,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,8.6,NA,0,50,25,25,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,6.6,NA,0,25,0,0,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,5.3,NA,0,25,25,0,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,6.3,NA,25,75,50,25,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,11,NA,0,50,25,0,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,14,NA,0,25,25,25,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,6.2,NA,0,0,0,0,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,5,NA,0,25,0,0,0,NA,,,
7/25/2025,McDonald,MCDO3,C,black spruce,yes,no,2.5,NA,0,25,0,0,0,NA,,,
7/27/2025,Slate,SLAT6,C,black spruce,yes,no,2.9,NA,NA,100,100,50,0,NA,,,
7/27/2025,Slate,SLAT6,C,black spruce,yes,no,4.3,NA,75,100,100,25,0,NA,,,
7/27/2025,Slate,SLAT6,C,black spruce,yes,no,11.2,NA,25,100,75,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,1.7,NA,NA,50,25,25,0,2,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,8.8,NA,0,75,50,50,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,1.1,NA,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,5.7,NA,0,50,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,2.6,NA,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,2.3,NA,100,100,75,0,NA,,,
