"","project","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","livedead","tree_notes"
"618","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4.7,NA,75,100,100,100,0,"dead",""
"619","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.2,NA,NA,100,100,100,0,"dead",""
"620","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",6.4,NA,100,100,100,75,0,"dead",""
"621","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","no","yes",3.5,NA,NA,NA,NA,100,25,"dead",""
"622","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",6.6,NA,75,100,100,75,0,"dead",""
"623","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4.5,NA,75,100,100,75,0,"dead",""
"624","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.1,NA,NA,100,100,100,0,"dead",""
"625","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","no","no",NA,1.3,NA,100,100,100,0,"dead",""
"626","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4.9,NA,75,100,100,100,0,"dead",""
"627","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.4,NA,100,100,100,100,0,"dead",""
"628","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","yes",2.7,NA,NA,NA,NA,NA,25,"dead",""
"629","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.6,NA,100,100,100,100,0,"dead",""
"630","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.5,NA,NA,100,50,100,100,"dead",""
"631","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.5,NA,NA,100,50,100,100,"dead",""
"632","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",3.4,NA,100,100,100,75,0,"dead",""
"633","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",3.4,NA,100,100,100,75,0,"dead",""
"634","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",0.9,NA,NA,100,100,100,0,"dead",""
"635","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",0.9,NA,NA,100,100,100,0,"dead",""
"636","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",0.9,NA,NA,100,100,100,0,"dead",""
"637","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4.6,NA,100,100,100,100,0,"dead",""
"638","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,1.9,NA,100,100,100,0,"dead",""
"639","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,2.3,NA,100,100,100,25,"dead",""
"640","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",3.8,NA,75,100,100,100,0,"dead",""
"641","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.1,NA,NA,100,100,100,0,"dead",""
"642","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.9,NA,100,100,100,100,0,"dead",""
"643","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4,NA,50,100,100,100,0,"dead",""
"644","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,1.5,NA,100,100,100,0,"dead",""
"645","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,1.5,NA,100,100,100,0,"dead",""
"646","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,1.5,NA,100,100,100,0,"dead",""
"647","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.6,NA,NA,100,100,100,0,"dead",""
"648","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.4,NA,100,100,100,100,0,"dead",""
"649","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.4,NA,100,100,100,100,0,"dead",""
"650","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.4,NA,100,100,100,100,0,"dead",""
"651","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",NA,2.3,NA,100,100,100,0,"dead",""
"652","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",5.2,NA,75,100,100,75,0,"dead",""
"653","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","yes",4.9,NA,NA,NA,NA,NA,25,"dead",""
"654","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",2.5,NA,100,100,100,75,0,"dead",""
"655","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.2,NA,NA,100,100,100,0,"dead",""
"656","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",1.2,NA,NA,100,100,100,0,"dead",""
"657","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","yes",5.5,NA,50,100,100,100,25,"dead","Topped"
"658","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","yes",NA,4.1,NA,NA,NA,NA,75,"dead",""
"659","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.3,NA,0,75,75,50,0,"dead",""
"660","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.9,NA,0,25,25,25,0,"dead",""
"661","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.9,NA,0,25,25,25,0,"dead",""
"662","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.4,NA,0,0,0,0,0,"dead",""
"663","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.6,NA,0,0,0,0,0,"dead",""
"664","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",0.7,NA,50,50,50,25,0,"dead",""
