"","project","date","fire_scar","site","plot","count_1_hr","count_10_hr","count_100_hr","count_1000_hr"
"106","CCE","2024-08-01","Munson Creek","MuCr1","A",21,0,0,0
"107","CCE","2024-08-01","Munson Creek","MuCr1","B",13,0,4,0
"108","CCE","2024-08-01","Munson Creek","MuCr1","C",15,0,0,0
"109","CCE","2024-08-01","Munson Creek","MuCr2","B",23,3,1,1
"110","CCE","2024-08-01","Munson Creek","MuCr2","A",21,4,3,3
"111","CCE","2024-08-01","Munson Creek","MuCr2","C",37,3,4,3
"112","CCE","2024-08-01","Munson Creek","MuCr3","A",13,4,1,0
"113","CCE","2024-08-01","Munson Creek","MuCr3","B",12,2,0,0
"114","CCE","2024-08-01","Munson Creek","MuCr3","C",16,0,0,0
"115","CCE","2024-08-02","Teklanika","Tekl4","A",6,0,0,1
"116","CCE","2024-08-02","Teklanika","Tekl4","B",8,0,1,0
"117","CCE","2024-08-02","Teklanika","Tekl4","C",8,1,0,0
"118","CCE","2024-08-02","Teklanika","Tekl6","A",0,1,0,0
"119","CCE","2024-08-02","Teklanika","Tekl6","B",0,0,0,0
"120","CCE","2024-08-02","Teklanika","Tekl6","C",1,0,1,0
"121","CCE","2024-08-02","Teklanika","Tekl5","A",6,0,0,0
"122","CCE","2024-08-02","Teklanika","Tekl5","B",7,1,0,0
"123","CCE","2024-08-02","Teklanika","Tekl5","C",5,0,2,0
"124","CCE","2024-08-03","Teklanika","Tekl1","B",0,1,0,0
"125","CCE","2024-08-03","Teklanika","Tekl1","C",0,0,0,0
"126","CCE","2024-08-03","Teklanika","Tekl1","A",0,0,0,0
"127","CCE","2024-08-03","Teklanika","Tekl3","A",0,0,0,0
"128","CCE","2024-08-03","Teklanika","Tekl3","B",0,1,0,0
"129","CCE","2024-08-03","Teklanika","Tekl3","C",2,0,0,0
"130","CCE","2024-08-03","Teklanika","Tekl2","A",3,2,1,0
"131","CCE","2024-08-03","Teklanika","Tekl2","B",4,3,1,0
"132","CCE","2024-08-03","Teklanika","Tekl2","C",5,2,1,0
"133","CCE","2024-08-04","Munson Creek","MuCr4","A",6,0,0,1
"134","CCE","2024-08-04","Munson Creek","MuCr4","B",8,0,0,0
"135","CCE","2024-08-04","Munson Creek","MuCr4","C",37,1,1,0
"136","CCE","2024-08-04","Munson Creek","MuCr5","A",8,1,0,0
"137","CCE","2024-08-04","Munson Creek","MuCr5","B",4,1,0,1
"138","CCE","2024-08-04","Munson Creek","MuCr5","C",2,0,0,0
"139","CCE","2024-08-05","Dry Creek","DrCr1","A",0,0,1,0
"140","CCE","2024-08-05","Dry Creek","DrCr1","B",1,1,0,0
"141","CCE","2024-08-05","Dry Creek","DrCr1","C",0,0,0,0
"142","CCE","2024-08-05","Dry Creek","DrCr2","A",2,2,0,0
"143","CCE","2024-08-05","Dry Creek","DrCr2","B",5,2,0,0
"144","CCE","2024-08-05","Dry Creek","DrCr2","C",5,0,0,0
"145","CCE","2024-08-05","Dry Creek","DrCr3","A",4,1,0,0
"146","CCE","2024-08-05","Dry Creek","DrCr3","B",3,1,0,0
"147","CCE","2024-08-05","Dry Creek","DrCr3","C",4,0,0,0
"148","CCE","2024-08-06","Dry Creek","DrCr4","A",4,0,0,0
"149","CCE","2024-08-06","Dry Creek","DrCr4","B",17,1,0,0
"150","CCE","2024-08-06","Dry Creek","DrCr4","C",21,1,0,0
"151","CCE","2024-08-06","Dry Creek","DrCr5","A",4,0,0,0
"152","CCE","2024-08-06","Dry Creek","DrCr5","B",11,1,0,0
"153","CCE","2024-08-06","Dry Creek","DrCr5","C",9,2,0,0
"154","CCE","2024-08-06","Dry Creek","DrCr6","A",6,0,0,0
"155","CCE","2024-08-06","Dry Creek","DrCr6","B",5,0,0,0
"156","CCE","2024-08-06","Dry Creek","DrCr6","C",6,0,1,0
"157","CCE","2024-08-07","McCoy Creek","McCr3","A",4,2,0,0
"158","CCE","2024-08-07","McCoy Creek","McCr3","B",5,1,0,0
"159","CCE","2024-08-07","McCoy Creek","McCr3","C",7,1,0,0
