"","date","project","fire_scar","site","plot","location","site_notes","seedlings_present","species","seedling_count","bd1","bd2","bd3"
"420","2024-07-28","CCE","McCoy Creek","McCr5","C","3 m","","yes","black spruce",4,0.04,0.01,0.01
"421","2024-07-16","CCE","Shovel Creek","ShCr2","B","9 m","","yes","birch",3,0.02,0.01,0.01
"422","2024-07-16","CCE","Shovel Creek","ShCr2","B","9 m","","yes","black spruce",7,0.02,0.05,0.12
"423","2024-08-05","CCE","Dry Creek","DrCr1","A","3 m","","yes","black spruce",9,0.03,0.06,0.02
"424","2024-08-05","CCE","Dry Creek","DrCr1","A","3 m","","yes","birch",2,0.04,0.01,NA
"425","2024-07-22","CCE","Hess Creek","HeCr2","B","3 m","","yes","birch",15,1.85,1.39,0.55
"426","2024-07-22","CCE","Hess Creek","HeCr2","B","3 m","","yes","aspen",1,0.15,NA,NA
"427","2024-07-23","CCE","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","yes","black spruce",7,0.04,0.09,0.07
"428","2024-07-23","CCE","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","yes","birch",16,0.08,0.11,0.05
"429","2024-08-06","CCE","Dry Creek","DrCr4","C","6 m","","yes","black spruce",1,0.5,NA,NA
"430","2024-08-05","CCE","Dry Creek","DrCr3","B","6 m","","yes","black spruce",2,0.01,0.02,NA
"431","2024-07-31","CCE","Nugget Creek","NuCr6","C","6 m","","no",NA,NA,NA,NA,NA
"432","2024-08-02","CCE","Teklanika ","Tekl6","C","3 m","","no",NA,NA,NA,NA,NA
"433","2024-07-30","CCE","Nugget Creek","NuCr2","C","6 m","","no",NA,NA,NA,NA,NA
"434","2024-07-25","CCE","Haystack","Hays6","B","9 m","","no",NA,NA,NA,NA,NA
"435","2024-07-18","CCE","Lost Horse","LoHo6","B","6 m","","no",NA,NA,NA,NA,NA
"436","2024-07-17","CCE","Shovel Creek","ShCr5","A","6 m","","yes","aspen",1,0.3,NA,NA
"437","2024-07-23","CCE","Hess Creek","HeCr6","C","9 m","","yes","black spruce",4,0.2,0.25,0.1
"438","2024-07-23","CCE","Hess Creek","HeCr6","C","9 m","","yes","birch",1,0.1,NA,NA
"439","2024-07-14","CCE","Haystack","Hays3","C","3 m","","yes","black spruce",1,0.01,NA,NA
"440","2024-07-29","CCE","McCoy Creek","McCr6","C","6 m","","yes","black spruce",2,0.01,0.03,NA
"441","2024-07-28","CCE","McCoy Creek","McCr5","C","6 m","","yes","black spruce",2,0.03,0.01,NA
"442","2024-08-04","CCE","Munson Creek","MuCr5","C","3 m","","yes","black spruce",3,0.04,0.03,0.03
"443","2024-07-22","CCE","Hess Creek","HeCr3","C","3 m","","yes","black spruce",3,0.23,0.31,0.12
"444","2024-07-22","CCE","Hess Creek","HeCr1","B","6 m","","no",NA,NA,NA,NA,NA
"445","2024-08-03","CCE","Teklanika ","Tekl3","A","3 m","","no",NA,NA,NA,NA,NA
"446","2024-07-31","CCE","Nugget Creek","NuCr5","C","6 m","","no",NA,NA,NA,NA,NA
"447","2024-08-02","CCE","Teklanika ","Tekl6","B","3 m","","no",NA,NA,NA,NA,NA
"448","2024-07-14","CCE","Haystack","Hays3","A","6 m","","no",NA,NA,NA,NA,NA
"449","2024-08-06","CCE","Dry Creek","DrCr6","A","3 m","","yes","black spruce",1,0.02,NA,NA
"450","2024-07-14","CCE","Haystack","Hays3","B","3 m","","no",NA,NA,NA,NA,NA
"451","2024-08-05","CCE","Dry Creek","DrCr3","C","6 m","","no",NA,NA,NA,NA,NA
"452","2024-07-25","CCE","Haystack","Hays5","B","3 m","","no",NA,NA,NA,NA,NA
"453","2024-07-15","CCE","Lost Horse","LoHo2","C","3 m","","no",NA,NA,NA,NA,NA
"454","2024-08-01","CCE","Munson Creek","MuCr1","A","6 m","","yes","black spruce",3,0.01,0.03,0.02
"455","2024-08-01","CCE","Munson Creek","MuCr1","A","6 m","","yes","birch",4,0.07,0.02,0.01
"456","2024-07-14","CCE","Haystack","Hays3","A","9 m","","no",NA,NA,NA,NA,NA
"457","2024-08-04","CCE","Munson Creek","MuCr5","B","3 m","","no",NA,NA,NA,NA,NA
"458","2024-07-18","CCE","Lost Horse","LoHo4 ","A","9 m","","no",NA,NA,NA,NA,NA
"459","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","black spruce",6,0.11,0.1,0.11
"460","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","aspen",1,0.11,NA,NA
"461","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","birch",20,0.11,0.12,0.11
"462","2024-08-06","CCE","Dry Creek","DrCr6","A","6 m","","no",NA,NA,NA,NA,NA
"463","2024-07-25","CCE","Haystack","Hays6","C","9 m","","no",NA,NA,NA,NA,NA
"464","2024-08-01","CCE","Munson Creek","MuCr3","A","6 m","","yes","black spruce",1,0.05,NA,NA
"465","2024-08-04","CCE","Munson Creek","MuCr4","C","6 m","","no",NA,NA,NA,NA,NA
"466","2024-08-03","CCE","Teklanika ","Tekl3","B","6 m","","no",NA,NA,NA,NA,NA
"467","2024-07-17","CCE","Shovel Creek","ShCr6","A","3 m","","no",NA,NA,NA,NA,NA
"468","2024-07-14","CCE","Haystack","Hays2","B","9 m","","no",NA,NA,NA,NA,NA
"469","2024-07-28","CCE","McCoy Creek","McCr1","A","6 m","","yes","black spruce",4,0.01,0.01,0.01
"470","2024-07-31","CCE","Nugget Creek","NuCr4","C","6 m","","yes","black spruce",1,0.04,NA,NA
"471","2024-07-17","CCE","Shovel Creek","ShCr6","B","9 m","","no",NA,NA,NA,NA,NA
"472","2024-07-18","CCE","Lost Horse","LoHo5","B","9 m","","no",NA,NA,NA,NA,NA
