"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","resprouts_present","resprout_species","resprout_species_other","resprout_count","resprout_notes","r_bd1","r_bd2","r_bd3","photos"
"254","a4cc61ab-2b35-44d8-b810-8bf05ab0bb1e","2024-07-28","McCoy Creek","MCCR4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"ed448119-5b94-453e-892f-702b44a32cda"
"255","a50d8d3d-41b3-441c-886d-b759c3c1e77d","2024-07-18","Lost Horse","LoHo6","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"22defa81-3110-4e4b-9098-088204774c7a"
"256","a56438dc-a640-4017-b44e-193976a91b4d","2024-08-04","Munson Creek","MuCr5","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"f73335c7-a4b5-43ee-846b-d01ab63c7a50"
"257","a612385c-21b1-4b8b-9847-75f7663e8334","2024-07-16","Shovel creek","ShCr2","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5da62147-748f-4ff9-be26-6b6fc9bffd92"
"258","a67f6371-36c6-463b-a7a1-8c518a7387f9","2024-08-06","Dry Creek","DrCr6","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"6522e163-92eb-49e5-b9f9-60cbc584bb51"
"259","a76b80fc-ba74-44e5-ba2b-d7aef888743c","2024-07-25","Haystack","HAYS4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"1fd5567e-bae4-4a40-b9ea-90da69b4a224"
"260","a7c0c58a-e704-407b-a54d-0a28d0c40928","2024-07-22","Hess Creek","HeCr3","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"198595c9-8d18-4b45-a851-666cd921ace1,2420a955-a9f0-461c-b518-59439ea80239"
"261","a7ea7d54-1ae2-45eb-9b51-6f87a7d212f5","2024-07-14","Haystack","Hays1","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"e0a2a6f6-27ed-4e9f-beba-a170735b47ca"
"262","a85d94f6-34e0-43ff-bb5d-2d662a51f199","2024-07-22","Hess Creek","HeCr1","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"45c01fe6-94db-49ba-a081-3dd1c833f762"
"263","aa45b7fb-4f71-4dad-909b-d50385dd83cb","2024-07-16","Shovel creek","ShCr3","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"2bc79c76-211e-45a3-baf0-1a3468ddc476"
"264","aa8c2032-65a2-40e9-b77c-03aceafc4574","2024-07-31","Nugget Creek","NuCr5","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"40115191-349d-407a-86e7-e82ec069f9c7"
"265","aae5f2dc-724f-45fd-9664-07a8f0d06b8e","2024-07-25","Haystack","HAYS5","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"571524f2-10a9-408b-96b5-077917c60819"
"266","ab478988-1775-4a30-b18d-f55778a2739c","2024-08-01","Munson Creek","MuCr2","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"7fd422fd-ad91-486f-84f6-95c802e5961f"
"267","ac4f4d40-1072-43fd-b018-bf7f670ccf23","2024-07-22","Hess Creek","HeCr2","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"a7eaaf99-a9a2-4634-ab23-d26f7923c5eb"
