"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","shrub_regen_present","shrub_regen_species","shrub_regen_count","shrub_notes","s_bd1","s_bd2","s_bd3","photos"
"129","46d05d32-dfb6-45cd-b517-c4dab84be5aa","2024-07-22","Hess Creek","HeCr2","A","6 m",NA,"","yes","Salix",1,"",0.52,NA,NA,"687ded11-3e39-4664-8af3-19d6e585c312"
"130","46d05d32-dfb6-45cd-b517-c4dab84be5aa","2024-07-22","Hess Creek","HeCr2","A","6 m",NA,"","yes","Salix",2,"",1.46,1.2,NA,"687ded11-3e39-4664-8af3-19d6e585c312"
"131","474af61c-5ad9-40d5-84f9-8192ee73e009","2024-07-23","Hess Creek","HeCr5","C","3 m",NA,"","yes","Salix",1,"",0.1,NA,NA,"915d830e-8c9a-42f1-b4cf-49c01eaea128"
"132","476fbe76-aaaf-477d-8967-77031ddeadd9","2024-07-25","Haystack","HAYS4","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"541ac583-b7ea-4538-a2d7-eafbdfdab9a2"
"133","477e7e1c-145a-46b3-98ad-d7571bd05173","2024-07-31","Nugget Creek","NuCr6","B","3 m",NA,"","yes","Salix",1,"",0.14,NA,NA,"1d634f2d-ce60-4184-b40c-b2d26494bfcf"
"134","47d36a8f-5903-4ae8-9c12-0a088c1e27e2","2024-08-01","Munson Creek","MuCr2","B","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"fa2fe742-2ad7-4925-a1bd-142ee00f20cc,14a9c426-3391-4787-9c89-24afb79d87ff"
"135","497efa6f-bd4a-4d5b-9b17-00d8973e92e7","2024-08-07","McCoy Creek","McCr3","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"a80b7bac-facb-425e-b5d5-05d70e30c517"
"136","4986c724-09ba-4282-a83e-3d28f22c76f3","2024-07-15","Lost Horse","LoHo1","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"2d84335a-844b-4d97-8eb0-1a984463df31"
"137","49f55325-bd58-4fb2-b3c0-0791da395c00","2024-07-16","Shovel creek","ShCr1","B","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"a31acc98-664b-4513-817e-5751c197935b"
"138","4a01685e-5d3a-4e97-b5e4-c2c289469f66","2024-07-17","Shovel creek","ShCr5","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"b1570575-1590-4afd-9dc2-83e9078fc6cb"
"139","4b5b16de-ed35-47f8-9a9e-967a4fc5f1bb","2024-07-23","Hess Creek","HeCr5","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"b56f6769-2da5-47aa-b739-a69793f9c834"
"140","4c62bd17-2749-4b59-8394-b07ed24e8e2b","2024-07-14","Haystack","Hays3","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"3e643c99-6a60-4bb3-afe2-b6dd40c6f844"
"141","4d6543ae-26d0-4407-9547-ec671a923f96","2024-07-18","Lost Horse","LoHo4 ","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"475b57a6-5775-468b-90ed-6b43ae710915"
"142","4d6635f5-c501-4bb4-8e9f-63e65125bd49","2024-07-15","Lost Horse","LoHo3","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"601101ca-31c0-409e-baaf-9271ef11925a"
"143","4d7d2c26-e51e-4b7f-8a46-fbfdcb7ab03b","2024-07-18","Lost Horse","LoHo4 ","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"dfb903b7-7552-445d-9a17-a1f07ad809bb"
"144","4e053de1-1b4b-49c2-8670-19248d7fdf2f","2024-07-14","Haystack","Hays3","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"21977c91-8ab4-4440-8473-88b477953c7f"
"145","4e77987d-694a-4dc7-9ef1-07f5d5723364","2024-08-05","Dry Creek","DrCr1","C","6 m",NA,"Betula neoalaskana seedlings barely beginning to sprout so unclear whether neoalaskana or nana. Seedlings as pictured in photo under plants section.","no",NA,NA,NA,NA,NA,NA,"a99fc665-8e9d-4315-a04c-4cef462d7e1b"
"146","4f3aa9da-2890-4fd4-8ca2-fa7d51b2ad85","2024-07-14","Haystack","Hays1","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"2243aa02-e5b5-4329-904c-12bae543cd6d"
"147","4f9209a4-e0ce-490c-a0d0-2b365d5c8af1","2024-07-14","Haystack","Hays1","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"e2eca4db-0eea-49d5-b147-d7d450385eb4"
"148","50de061d-4c14-4d89-9eac-5d89052c9727","2024-07-16","Shovel creek","ShCr1","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"560ce2cf-f205-4711-9938-f5db8cd619d2"
"149","50fcb9f8-749c-454d-a685-b190957b3634","2024-07-25","Haystack","HAYS5","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"0ca9c5d3-ce45-4b6e-bc18-2831646884dc"
"150","52993389-cb4f-4656-88a3-6f34661481d9","2024-07-16","Shovel creek","ShCr3","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,"e01b9d3a-6ce8-433d-9dec-8eb441777997"
"151","52b1a26d-8834-47e7-bf83-180ed9854f00","2024-07-28","McCoy Creek","MCCR4","C","3 m",NA,"Spruce spp unclear, too small to tell","no",NA,NA,NA,NA,NA,NA,"30b0c61f-e5a3-4a56-97af-efe3d57c6650"
"152","532f011c-cf47-4f18-963b-f01f46202f8c","2024-07-30","Nugget Creek","NuCr1","B","3 m",NA,"","yes","Salix",3,"",0.35,0.94,0.24,"3e143728-6cd7-489c-8afd-16dbca3b313d"
