"","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","count","livedead","tree_notes"
"104","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",2.5,NA,NA,50,50,25,0,NA,"",""
"105","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",2.5,NA,NA,75,75,75,0,2,"",""
"106","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.8,NA,NA,75,75,50,0,NA,"",""
"107","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",5.2,NA,0,50,50,25,0,NA,"",""
"108","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.1,NA,100,100,100,0,3,"",""
"109","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,0.8,NA,NA,NA,100,75,7,"",""
"110","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",1.1,NA,NA,100,100,75,0,3,"",""
"111","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.6,NA,NA,50,50,25,0,2,"",""
"112","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.3,NA,100,100,100,0,3,"",""
"113","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",1,NA,NA,75,75,25,0,NA,"",""
"114","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.9,NA,NA,100,100,100,0,5,"",""
"115","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1,NA,NA,NA,NA,75,6,"",""
"116","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.1,NA,100,100,100,0,NA,"",""
"117","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",2,NA,0,75,75,25,0,NA,"",""
"118","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.9,NA,NA,75,75,25,0,3,"",""
"119","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.3,NA,100,100,75,0,NA,"",""
"120","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",1.3,NA,NA,100,100,100,0,3,"",""
"121","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,0.8,NA,100,100,100,0,NA,"",""
"122","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.1,NA,75,75,75,0,5,"",""
"123","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","yes",9.1,NA,NA,NA,NA,100,25,NA,"",""
"124","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",2.9,NA,0,75,75,75,0,2,"",""
"125","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.5,NA,0,75,75,25,0,NA,"",""
"126","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.6,NA,75,75,75,0,3,"",""
"127","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,0.9,NA,75,75,25,0,2,"",""
"128","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.6,NA,0,0,0,0,NA,"",""
"129","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,0.3,NA,0,0,0,0,10,"",""
"130","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","yes",6.5,NA,0,0,0,0,0,NA,"",""
"131","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",1.5,NA,NA,25,25,0,0,NA,"",""
"132","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",0.6,NA,0,0,0,0,0,NA,"",""
"133","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",1.1,NA,0,0,0,0,0,NA,"",""
"134","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",1.9,NA,NA,0,0,0,0,NA,"",""
"135","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",8.7,NA,NA,75,75,75,0,NA,"","Topped"
"136","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",9.2,NA,0,0,0,0,0,NA,"",""
"137","2024-07-25","Haystack","Hays6","B","black spruce","yes","no",1.8,NA,0,0,0,0,0,NA,"",""
"138","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",4.9,NA,100,100,100,75,0,NA,"",""
"139","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","yes",NA,1,NA,NA,NA,100,25,NA,"",""
"140","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",3.1,NA,NA,100,100,50,0,NA,"","Topped"
"141","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",7.5,NA,75,100,100,50,0,NA,"",""
"142","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",4.9,NA,25,100,100,50,0,NA,"",""
"143","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",5.7,NA,100,100,100,25,0,NA,"",""
"144","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",2.3,NA,100,100,100,75,0,NA,"",""
"145","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",NA,1.2,NA,100,100,100,0,NA,"",""
"146","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",0.6,NA,NA,100,100,100,0,NA,"",""
"147","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",NA,1.3,NA,100,100,100,0,NA,"",""
"148","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",6.4,NA,50,50,50,25,0,NA,"",""
"149","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",4.5,NA,NA,0,0,0,0,NA,"",""
"150","2024-08-06","Dry Creek","DrCr4","A","black spruce","no","yes",NA,1.4,NA,NA,NA,NA,50,NA,"",""
"151","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",NA,0.3,NA,100,100,25,0,2,"",""
"152","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",4.2,NA,0,75,75,25,0,NA,"",""
"153","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",2.1,NA,NA,0,0,0,0,NA,"",""
"154","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",2.6,NA,0,50,50,25,0,3,"",""
"155","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",1.2,NA,NA,100,100,25,0,NA,"",""
"156","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",2.7,NA,NA,0,0,0,0,NA,"",""
"157","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",NA,1.1,NA,25,25,0,0,NA,"",""
"158","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",7.1,NA,25,25,25,0,0,NA,"",""
"159","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",8.2,NA,0,0,0,0,0,NA,"",""
"160","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",NA,0.9,NA,0,0,0,0,NA,"",""
"161","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",0.6,NA,0,0,0,0,0,NA,"",""
"162","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",6.1,NA,0,0,0,0,0,NA,"",""
"163","2024-08-06","Dry Creek","DrCr4","A","black spruce","yes","no",1.2,NA,NA,0,0,0,0,NA,"",""
"164","2024-07-14","Haystack","Hays1","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.7,NA,NA,100,100,100,0,NA,"",""
"166","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",3,NA,0,25,25,0,0,2,"",""
"167","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",8.9,NA,0,0,0,0,0,NA,"",""
"168","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.7,NA,NA,100,100,100,0,NA,"",""
"169","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.2,NA,NA,0,0,0,0,NA,"",""
"170","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.9,NA,0,100,100,100,0,NA,"",""
"171","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.4,NA,NA,25,25,0,0,NA,"",""
"172","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.3,NA,0,50,50,25,0,NA,"",""
"173","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.5,NA,NA,100,100,75,0,NA,"",""
"174","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",0.6,NA,NA,100,100,100,0,NA,"",""
"175","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.3,NA,NA,75,75,50,0,NA,"",""
"176","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",3.1,NA,0,0,0,0,0,NA,"",""
"177","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",NA,1.1,NA,100,75,25,0,NA,"",""
"178","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.1,NA,NA,0,0,0,0,NA,"",""
"179","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.7,NA,0,0,0,0,0,NA,"",""
"180","2024-07-30","Nugget Creek","NuCr1","B","black spruce","yes","no",3,NA,0,0,0,0,0,3,"",""
"181","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",5.1,NA,100,100,100,75,0,NA,"",""
"182","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2,NA,NA,NA,NA,NA,25,NA,"",""
"183","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",0.7,NA,NA,100,100,100,0,NA,"",""
"184","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.9,NA,NA,0,0,0,0,NA,"",""
"185","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",7.4,NA,0,100,100,75,0,NA,"",""
"186","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.8,NA,75,50,50,0,0,NA,"",""
"187","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.2,NA,NA,0,0,0,0,NA,"",""
"188","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",NA,1.3,0,0,0,0,0,NA,"",""
"189","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",0.6,NA,NA,25,25,0,0,NA,"",""
"190","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.1,NA,100,100,100,100,0,NA,"",""
"191","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.9,NA,100,100,100,100,0,NA,"",""
"192","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",0.8,NA,NA,100,100,75,0,NA,"",""
"193","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.3,NA,NA,NA,NA,100,0,NA,"",""
"194","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1,NA,NA,0,0,0,0,NA,"",""
"195","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",5.7,NA,0,0,0,0,0,NA,"",""
"196","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",6.1,NA,100,100,100,100,0,NA,"",""
"197","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.9,NA,100,100,100,100,0,NA,"",""
"198","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.7,NA,100,100,100,100,0,NA,"",""
"199","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",1.2,NA,NA,100,100,100,0,NA,"",""
"200","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",2.8,NA,100,100,100,100,25,NA,"",""
"201","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",3,NA,100,100,100,100,0,NA,"",""
"202","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",3.5,NA,100,100,100,100,0,NA,"",""
"203","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",6.4,NA,0,0,0,0,0,NA,"",""
"204","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",4.4,NA,100,100,100,100,0,NA,"",""
"205","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",7.3,NA,100,100,100,100,0,NA,"",""
"206","2024-07-30","Nugget Creek","NuCr1","B","black spruce","no","no",5,NA,100,100,100,100,0,NA,"",""
"207","2024-08-06","Dry Creek","DrCr4","C","black spruce","yes","no",NA,1.3,100,100,100,25,0,NA,"",""
"208","2024-08-06","Dry Creek","DrCr4","C","black spruce","yes","no",0.4,NA,NA,0,0,0,0,NA,"",""
