"","date","fire_scar","site","plot","location","green_moss","depth1","org_hit","org_hit_other","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","min_depth","m1_depth1","m1_depth2","m2_depth1","m2_depth_2","min_coregrab","mineral_notes","sample_photo","general_notes"
"216","2024-07-30","Nugget Creek","NuCr2","B","6 m",NA,41,"Rock","",101,">100cm",9,"Mineral",10,23,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"217","2024-07-30","Nugget Creek","NuCr3","A","3 m",NA,11,"Mineral","",101,">100cm",3.5,"Mineral",16,14,NA,"yes","NuCr3A",11,9,11,11.5,10,9.5,"",NA,5,NA,5,NA,"","","","SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"218","2024-07-30","Nugget Creek","NuCr3","A","6 m",NA,7,"Mineral","",101,">100cm",9,"Mineral",17.5,31,21,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","AR SOL depth does not include green moss"
"219","2024-07-23","Hess Creek","HeCr5","C","3 m",NA,36,"Mineral","",101,">100cm",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"220","2024-07-23","Hess Creek","HeCr5","C","6 m",NA,15,"Mineral","",75,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"221","2024-07-23","Hess Creek","HeCr5","C","9 m",NA,26,"Mineral","",82,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"222","2024-07-15","Lost horse","LoHo2","A","3 m",NA,11,"Mineral","",55,"Rock",22,"Mineral",8,4,3,"yes","LoHo2 a",11,10,11,10,10,10,"",5,5,5,5,5,"Core","","",""
"223","2024-07-15","Lost horse","LoHo2","A","9 m",NA,10,"Mineral","",120,">100cm",0.5,"Mineral",23,20,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"224","2024-07-15","Lost horse","LoHo2","A","6 m",NA,10.5,"Mineral","",74,"Rock",8,"Mineral",18,12,11,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"225","2024-07-15","Lost horse","LoHo1","A","9 m",NA,10,"Mineral","",54,"Rock",7.5,"Mineral",12,7,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"226","2024-07-15","Lost horse","LoHo1","A","6 m",NA,6.5,"Mineral","",63,"Rock",9,"Mineral",19,13,5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"227","2024-07-15","Lost horse","LoHo1","A","3 m",NA,1,"Mineral","",60,"Rock",1.5,"Mineral",19,12,1,"yes","LOHO1A",9,10,13,12,12,10,"Some green moss under burned moss",NA,5,5,5,5,"Core","","",""
"228","2024-07-14","Haystack","Hays2","A","3 m",NA,5.5,"Mineral","",59,"Rock",6,"Mineral",6,7,NA,"yes","Hays2a",6,5,9,10,9,10,"",10,NA,NA,NA,NA,"Core","M1 and m2 both 5 cm","",""
"229","2024-07-14","Haystack","Hays2","A","6 m",NA,19,"Mineral","",75,"Rock",6.5,"Mineral",20,18,14,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"230","2024-07-14","Haystack","Hays2","A","9 m",NA,12,"Mineral","",100,"Rock",5,"Mineral",8,10,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"231","2024-07-16","Shovel Creek","ShCr1","C","9 m",NA,26.5,"Mineral","",58,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"232","2024-07-16","Shovel Creek","ShCr1","C","6 m",NA,28.5,"Mineral","",92,"Ice",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"233","2024-07-16","Shovel Creek","ShCr1","C","3 m",NA,44,"Mineral","",53,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","Sphagnum "
"234","2024-07-31","Nugget Creek","NuCr5","A","3 m",NA,5.5,"Mineral","",86,"Rock",3.5,"Mineral",11,16,NA,"yes","NuCr5A",6,5,7.5,7.5,9,9.5,"",NA,3,NA,5,NA,"","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"235","2024-07-31","Nugget Creek","NuCr5","A","6 m",NA,5,"Mineral","",64,"Rock",12,"Mineral",11,23.5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","Depth includes green moss for transect, AR depths taken from downed tree to bottom of tree roots. AR SOL depth taken right next to downed AR tree and does not include green moss."
