sample_id,field_id,fire,site,plot,soil_depth_top_cm,soil_depth_bottom_cm,initial_mass_g,pre_homo_subsample_mass_g,cn_d1,cn_d2,cn_w1,cn_w2,cn_l1,cn_l2,homogenized_soil_mass_g,subsample_fine_wet_mass_g,coarse_wet_mass_g,rock_weight_g,rock_volume_ml,subsample_fine_dry_mass_g,coarse_dry_mass_g,N_weight_per,C_weight_per
LC_4205,MmBon8B,MmBonanza,8,B,10,15,738.04,87.67,3.5,3.5,5,4.5,12,12,77.65,50.01,5.16,NA,NA,10.7,1.83,1.34,32.32
LC_4206,KilTal51A,KilolitnaTal,51,A,0,5,1266.18,156.35,5,5,5.5,5,9,9,113.32,50.19,24.12,0.21,0.1,15.22,7.97,1.1,26.81
LC_4207,KilTal51A,KilolitnaTal,51,A,5,10,1266.18,201.12,5,5,5,4.5,8.5,8.5,158.58,50.14,27.94,NA,NA,13.43,8.04,1.15,31.1
LC_4208,KilTal51A,KilolitnaTal,51,A,10,15,1266.18,178.86,5,5,4.5,4.5,8,8,145.77,50.6,21.68,NA,NA,14.33,6.22,1.67,35.49
LC_4209,KilTal51A,KilolitnaTal,51,A,15,20,1266.18,72.99,3.5,3,4.5,4,7.5,7,68.96,50.01,1,NA,NA,14.44,0.33,1.75,34.22
LC_4210,DoBon13B,DouglasBonanza,13,B,0,5,1696.6,123.15,5,5,7,5,8.5,8,78.43,50.03,33.09,NA,NA,6.11,5.4,1.09,42.3
LC_4211,DoBon13B,DouglasBonanza,13,B,5,10,1696.6,145.66,5,5,6,5,10,8.5,109.6,41.7,20.2,NA,NA,4.85,4.45,1.120195132,42.36
LC_4212,DoBon13B,DouglasBonanza,13,B,10,15,1696.6,194.76,5,5,6.5,5,10.5,9.5,178.12,50.04,5.92,NA,NA,7.58,1.68,1.68,44.77
LC_4213,DoBon13B,DouglasBonanza,13,B,15,20,1696.6,189.27,5,5,6,5.5,10.5,10,158.36,50.23,18,NA,NA,8.7,3.54,1.86,48.61
LC_4214,DoBon13B,DouglasBonanza,13,B,20,25,1696.6,108.36,5,4.5,5,4.5,9,9,102.91,49.98,1.19,NA,NA,9.58,0.27,1.8,47.26
LC_4215,BitCosLil44B,BitzshitiniCosnaLittle,44,B,0,5,1934.59,208.3,5,5,6.5,6,11.5,11.5,180.81,49.83,10.66,NA,NA,9.82,2.58,1.75,42.54
LC_4216,BitCosLil44B,BitzshitiniCosnaLittle,44,B,5,10,1934.59,319.34,5,5,6,6,11.5,11,297.19,50.13,7,NA,NA,11.32,1.86,1.64,40.34
LC_4217,BitCosLil44B,BitzshitiniCosnaLittle,44,B,10,15,1934.59,370.22,5,5,5.5,6.5,11,11,328.4,50.8,21.1,NA,NA,34.19,12.25,0.321229786,5.68
LC_4218,BitCosLil44B,BitzshitiniCosnaLittle,44,B,15,20,1934.59,111.51,3.5,2.5,5,5,9,9,110.55,50.41,0.33,NA,NA,39.1,0.17,0.17,2.17
LC_4219,Doug15C,Douglas,15,C,0,5,1428.17,70.91,5,5,6.5,5,11,10,39.75,39.75,19.9,NA,NA,11.48,7.11,1.08,43.46
LC_4220,Doug15C,Douglas,15,C,5,10,1428.17,155.69,5,5,6,5,9.5,9.5,127.38,50.01,10.28,NA,NA,8.09,3.33,1.45,45.9
LC_4221,Doug15C,Douglas,15,C,10,15,1428.17,235.99,5,5,6,6,9,9,225.56,50.12,4,NA,NA,8.42,0.81,1.75,43.65
LC_4222,Doug15C,Douglas,15,C,15,20,1428.17,135.47,5,NA,5.5,5,9.5,8.5,115.52,50.03,10.3,NA,NA,9.38,2.22,1.82,43.27
LC_4223,Doug15C,Douglas,15,C,20,25,1428.17,128.44,5,5,5,5,8.5,9,118.86,50.02,1.99,NA,NA,10.68,0.65,1.66,38.46
LC_4224,Doug14B,Douglas,14,B,0,5,546.55,34.63,5,5,6,5,10,10,28.56,28.56,3.15,NA,NA,12.92,1.65,0.88,38.45
LC_4225,Doug14B,Douglas,14,B,5,10,546.55,72.45,5,5,5,5,11.5,11,54.9,50.04,10.6,NA,NA,8.37,3.78,0.74,45.5
LC_4226,Doug14B,Douglas,14,B,10,15,546.55,130.49,5,5,6.5,5.5,12,11.5,96.32,50.27,19.61,NA,NA,5.35,4.08,0.81,46.09
LC_4227,Doug14B,Douglas,14,B,15,20,546.55,62.56,4.5,4,5,5,11,11,57.78,50.04,1.4,NA,NA,5.9,0.26,0.95,42.23
LC_4228,KilTalHol56A,KilolitnaTalHolanada,56,A,0,5,257.56,124.15,4,4.5,5,5,11,10.5,102.78,49.78,2.98,12.54,5.5,15.76,0.94,0.77,23.13
LC_4229,Chit31B,Chitanana,31,B,0,5,436.76,225.67,4,3.5,5.5,5.5,10.5,10.5,191.36,50.18,23.41,NA,NA,26.48,8.33,0.35,5.4
LC_4230,KilTal53B,KilolitnaTal,53,B,0,5,346.18,82.02,5,5,5,6,10.5,10,66.54,50.03,9.11,NA,NA,18.09,3.89,1.49,40.69
LC_4231,KilTal53B,KilolitnaTal,53,B,5,10,346.18,66.15,4,3,5,4,7.5,7.5,57.68,50.1,5.29,NA,NA,24.42,2.08,1.01,20.52
LC_4232,DoBon11C,DouglasBonanza,11,C,0,5,513.47,206.76,5,5,6.5,5,10,10,187.93,49.99,6.83,NA,NA,25.75,3.61,1,21.14
LC_4233,DoBon11C,DouglasBonanza,11,C,5,10,513.47,61.91,2.5,2.5,5.5,4.5,8.5,7.5,57.75,49.94,2.33,NA,NA,27.48,1.3,0.66,14.01
LC_4234,BitWien41A,BitzshitiniWien,41,A,0,5,957.7,35.31,5,5,6,5,9.5,9,20.01,19.47,4.44,NA,NA,8.88,2.34,1.3,44.15
LC_4235,BitWien41A,BitzshitiniWien,41,A,5,10,957.7,188.82,5,5,5.5,5,9.5,9.5,155.4,49.93,15.4,NA,NA,23.15,7.05,0.72,16.33
LC_4236,BitWien41A,BitzshitiniWien,41,A,10,15,957.7,266.5,5,4.5,4.5,4.5,9.5,9.5,260.77,50.13,1.54,NA,NA,34.1,1.02,0.18,2.78
LC_4237,DoBon9C,DouglasBonanza,9,C,0,5,523.47,125.63,5,5,7,6,11,11,105.41,50.63,7.57,NA,NA,20.18,4.65,1.77,34.91
LC_4238,DoBon9C,DouglasBonanza,9,C,5,10,523.47,134.51,4,3.5,6.5,6,10.5,10,126.33,49.83,2.46,NA,NA,18.66,1.17,1.36,20.83
LC_4239,KilTal52A,KilolitnaTal,52,A,0,5,602.88,130.72,5,5,6,6,9.5,9.5,80.52,49.98,28.88,NA,NA,11.12,7.67,1.99,40.19
LC_4240,KilTal52A,KilolitnaTal,52,A,5,10,602.88,164.55,4,2.5,6,6,9.5,9.5,130.03,50.29,13.28,6.5,6.5,22.54,5.46,0.79,14.83
LC_4241,Doug15A,Douglas,15,A,0,5,1514.64,119.36,5,5,7,5,13,13,70.18,49.96,34.21,NA,NA,11.35,NA,1.17,45.75
