fire,site,plot,date,location,org_depth,org_hit,ar_sol_depth,ar_sol_hit,ar_height,thaw_d,thaw_hit
BigTractor,39,C,7/20/2022,2.5 m,0,Mineral,0,,7,NA,
BigTractor,90,A,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,90,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,90,B,7/20/2022,7.5 m,2,Mineral,NA,,NA,NA,
BigTractor,90,B,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,90,C,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,90,C,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BitzshitiniCosnaLittle,44,A,7/14/2023,2.5 m,19,Mineral,20,Mineral,12.5,50,Frozen Ground
BitzshitiniCosnaLittle,44,A,7/14/2023,7.5 m,14,Mineral,20,Mineral,10,61,Frozen Ground
BitzshitiniCosnaLittle,44,B,7/14/2023,2.5 m,18,Mineral,25,Mineral,5.5,64,Frozen Ground
BitzshitiniCosnaLittle,44,B,7/14/2023,7.5 m,25,Mineral,31,Mineral,3,61,Frozen Ground
BitzshitiniCosnaLittle,44,C,7/14/2023,7.5 m,26,Mineral,22,Mineral,7,47,Frozen Ground
BitzshitiniCosnaLittle,44,C,7/14/2023,2.5 m,25,Mineral,19,Mineral,2.5,53,Frozen Ground
BitzshitiniCosnaLittle,45,A,7/14/2023,2.5 m,24.5,Mineral,34,Mineral,2.5,56,Frozen Ground
BitzshitiniCosnaLittle,45,A,7/14/2023,7.5 m,24,Mineral,33,Mineral,6.5,50,Frozen Ground
BitzshitiniCosnaLittle,45,B,7/14/2023,2.5 m,24,Mineral,30,Mineral,6,42,Frozen Ground
BitzshitiniCosnaLittle,45,B,7/14/2023,7.5 m,29,Mineral,42,Mineral,0,45,Frozen Ground
BitzshitiniCosnaLittle,45,C,7/14/2023,7.5 m,22,Mineral,35,Mineral,9,46,Frozen Ground
BitzshitiniCosnaLittle,45,C,7/14/2023,2.5 m,38,Mineral,42,Mineral,2.5,38,Frozen Ground
BitzshitiniCosnaLittle,46,A,7/14/2023,7.5 m,30,Frozen Ground,32,Frozen Ground,6.25,30,Frozen Ground
BitzshitiniCosnaLittle,46,A,7/14/2023,2.5 m,27,Mineral,31,Frozen Ground,3.5,44,Frozen Ground
BitzshitiniCosnaLittle,46,B,7/14/2023,7.5 m,44,Frozen Ground,NA,Frozen Ground,0,44,Frozen Ground
BitzshitiniCosnaLittle,46,B,7/14/2023,2.5 m,32,Frozen Ground,40,Frozen Ground,4,32,Frozen Ground
BitzshitiniCosnaLittle,46,C,7/14/2023,2.5 m,27,Frozen Ground,38,Mineral,0,37,Frozen Ground
BitzshitiniCosnaLittle,46,C,7/14/2023,7.5 m,41,Frozen Ground,43,Frozen Ground,1,42,Frozen Ground
BitzshitiniCosnaLittle,47,A,7/15/2023,7.5 m,9,Mineral,9,Mineral,3.5,80,Frozen Ground
BitzshitiniCosnaLittle,47,A,7/15/2023,2.5 m,18,Mineral,10,Mineral,3.5,89,Frozen Ground
BitzshitiniCosnaLittle,47,B,7/15/2023,2.5 m,19.5,Mineral,11,Mineral,5,92,Frozen Ground
BitzshitiniCosnaLittle,47,B,7/15/2023,7.5 m,11,Mineral,9,Mineral,4,80,Frozen Ground
BitzshitiniCosnaLittle,47,C,7/15/2023,7.5 m,14,Mineral,10,Mineral,7,89,Frozen Ground
