date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/28/2022,MarrRock,168,A,unknown conifer,no,yes,no,15,NA,NA,100,100,100,25,Stem 25%
7/28/2022,MarrRock,168,C,unknown conifer,no,yes,no,18.2,NA,NA,100,100,100,25,Stem 25%
7/28/2022,MarrRock,168,C,unknown conifer,no,yes,no,16.2,NA,NA,100,100,100,25,Stem 25
7/28/2022,MarrRock,168,C,unknown conifer,no,yes,no,6.2,NA,NA,100,100,100,75,Stem 75%
7/28/2022,MarrRock,168,C,unknown conifer,no,yes,no,8.2,NA,NA,100,100,100,75,Stem 75%
7/28/2022,MarrRock,168,B,unknown conifer,no,yes,no,NA,18.2,NA,100,100,75,0,
7/28/2022,MarrRock,168,B,black spruce,yes,yes,no,9.2,NA,NA,100,100,50,25,Stem 25%
7/28/2022,MarrRock,552,A,birch,no,yes,no,12.1,NA,NA,100,100,100,25,Stem 25%
7/28/2022,MarrRock,552,C,white spruce,no,yes,no,6.1,NA,NA,100,100,100,50,Stem 50%
7/28/2022,MarrRock,552,C,white spruce,no,yes,no,19.9,NA,NA,100,100,100,50,Stem 50%
7/28/2022,MarrRock,552,C,white spruce,no,yes,no,10.8,NA,NA,100,100,100,50,Stem 50%
7/28/2022,MarrRock,552,C,white spruce,no,yes,no,6.2,NA,NA,100,100,100,75,Stem75%
7/28/2022,MarrRock,552,A,white spruce,no,yes,no,15.6,NA,NA,100,100,100,100,Stem 100%
7/28/2022,MarrRock,552,C,birch,no,yes,no,8.4,NA,NA,100,100,100,0,
7/28/2022,MarrRock,552,B,white spruce,no,yes,no,21.5,NA,NA,100,100,100,0,
7/28/2022,MarrRock,552,C,white spruce,no,yes,no,24.5,NA,NA,100,100,25,0,
7/28/2022,MarrRock,643,C,white spruce,no,yes,no,16.2,NA,NA,100,100,100,25,S25
7/28/2022,MarrRock,643,C,white spruce,no,yes,no,14.1,NA,NA,100,100,100,25,S25
7/28/2022,MarrRock,643,B,birch,no,yes,no,12.2,NA,NA,100,100,100,25,S25
7/28/2022,MarrRock,643,A,black spruce,no,yes,no,9.8,NA,NA,100,100,100,75,Stem 75
7/28/2022,MarrRock,781,A,birch,no,yes,no,14.6,NA,NA,100,100,100,25,S25
7/28/2022,MarrRock,781,B,white spruce,no,yes,no,11.5,NA,NA,100,100,100,25,S25
7/28/2022,MarrRock,781,C,birch,yes,yes,no,8.5,NA,NA,100,100,100,50,S50
7/28/2022,MarrRock,781,B,birch,yes,yes,no,10.5,NA,NA,100,100,100,50,S50
7/28/2022,MarrRock,781,B,white spruce,no,yes,no,16.8,NA,NA,100,100,100,50,S50
7/28/2022,MarrRock,781,A,birch,yes,yes,no,16.9,NA,NA,100,100,100,0,
7/28/2022,MarrRock,1133,A,birch,yes,yes,no,3.8,NA,NA,25,25,0,0,
7/28/2022,MarrRock,1371,A,white spruce,no,yes,no,20.2,NA,NA,100,100,100,50,Stem 50%
7/28/2022,MarrRock,1371,A,birch,no,yes,no,18.9,NA,NA,100,100,100,75,S75
6/23/2023,MmBonanza,4,B,black spruce,yes,yes,no,2.4,NA,NA,100,100,100,25,S25
6/23/2023,MmBonanza,4,C,black spruce,yes,yes,no,NA,4.6,NA,100,100,100,100,S100
6/25/2023,DouglasBonanza,9,A,aspen,yes,yes,no,13.2,NA,NA,100,100,100,75,S75
6/25/2023,DouglasBonanza,11,C,black spruce,yes,yes,no,8.7,NA,50,100,100,75,NA,From prev fire 
6/27/2023,Douglas,16,B,unknown,yes,yes,no,NA,3.9,NA,100,100,75,NA,
6/27/2023,Douglas,17,A,black spruce,yes,yes,no,2.7,NA,NA,0,0,0,NA,
6/27/2023,Douglas,17,C,black spruce,no,yes,no,3.4,NA,NA,0,0,0,NA,
7/6/2023,DryMooseheart,19,A,aspen,yes,yes,no,NA,14.6,NA,100,100,100,75,
7/6/2023,DryMooseheart,19,A,black spruce,yes,yes,no,5.8,NA,NA,100,100,100,25,
7/6/2023,DryMooseheart,19,A,unknown deciduous,yes,yes,no,NA,4,NA,100,100,100,100,
7/6/2023,DryMooseheart,19,B,black spruce,yes,yes,no,4.8,NA,NA,100,100,100,25,
7/6/2023,DryMooseheart,19,C,black spruce,yes,yes,no,11.2,NA,NA,100,100,100,75,
7/6/2023,DryMooseheart,20,A,black spruce,yes,yes,no,5.4,NA,NA,100,100,100,25,
