date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.2,NA,25,50,50,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.1,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,3.1,NA,75,50,50,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3,NA,NA,100,100,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,2.4,NA,NA,100,100,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,2.3,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,2.2,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,2.1,NA,NA,100,100,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,2,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,1.8,NA,NA,100,100,50,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,1.8,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,1.6,NA,NA,100,75,50,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,1.5,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,1.5,NA,NA,50,50,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,1.4,NA,NA,100,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,NA,1.6,NA,100,100,25,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,11.3,NA,0,25,25,25,NA,
7/5/2021,Shovel,60,A,black spruce,no,NA,no,5,NA,0,0,0,0,NA,
7/5/2021,Shovel,60,A,black spruce,no,NA,no,4.9,NA,0,0,0,0,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,3.9,NA,0,0,0,0,NA,
7/5/2021,Shovel,60,A,black spruce,no,NA,no,2.9,NA,0,50,50,25,NA,
7/5/2021,Shovel,60,A,black spruce,no,NA,no,2.1,NA,NA,75,75,25,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,NA,1.3,NA,100,100,50,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,NA,1.1,NA,100,100,75,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,NA,1,NA,100,100,50,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,60,A,black spruce,yes,NA,no,NA,0.9,NA,100,100,75,NA,
7/5/2021,Shovel,60,B,black spruce,no,NA,no,2.3,NA,50,75,75,50,NA,
7/5/2021,Shovel,60,B,black spruce,no,NA,no,1.9,NA,25,75,75,50,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,5.4,NA,0,25,25,0,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,5.1,NA,0,0,0,0,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,4.7,NA,0,25,25,0,NA,
7/5/2021,Shovel,60,C,black spruce,yes,NA,no,3.8,NA,0,0,0,0,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,3.5,NA,50,75,75,50,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,2.8,NA,25,25,25,25,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,1.2,NA,NA,75,75,50,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,0.6,NA,NA,75,75,50,NA,
7/5/2021,Shovel,60,C,black spruce,no,NA,no,0.2,NA,NA,100,75,50,NA,
7/8/2021,MtPrindle2,587,A,black spruce,no,NA,no,6.6,NA,NA,NA,25,25,NA,
7/8/2021,MtPrindle2,587,A,black spruce,yes,NA,no,6.3,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,A,black spruce,yes,NA,no,5.8,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,A,black spruce,no,NA,no,5.4,NA,0,NA,0,25,NA,
7/8/2021,MtPrindle2,587,A,black spruce,no,NA,no,5,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,A,black spruce,yes,NA,no,4.5,NA,0,NA,25,0,NA,
7/8/2021,MtPrindle2,587,A,black spruce,no,NA,no,3,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,A,black spruce,no,NA,no,2,NA,NA,NA,NA,25,NA,
7/8/2021,MtPrindle2,587,A,black spruce,yes,NA,no,1.1,NA,NA,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,7.4,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,7.3,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,yes,NA,no,7.3,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,yes,NA,no,6,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,4.8,NA,NA,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,4.5,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,yes,NA,no,4.3,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,587,B,black spruce,yes,NA,no,3.9,NA,NA,NA,75,50,NA,
7/8/2021,MtPrindle2,587,B,black spruce,yes,NA,no,3.6,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,3.3,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,3.3,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,3,NA,NA,NA,75,50,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,2.7,NA,NA,NA,75,50,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,2.5,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,B,black spruce,no,NA,no,2.2,NA,NA,NA,100,75,NA,
7/8/2021,MtPrindle2,587,C,black spruce,yes,NA,no,NA,1.3,NA,NA,0,0,NA,
7/8/2021,MtPrindle2,587,C,black spruce,yes,NA,no,NA,1.25,NA,NA,0,0,NA,
7/8/2021,MtPrindle2,587,C,black spruce,yes,NA,no,8.5,NA,0,NA,0,0,NA,
7/8/2021,MtPrindle2,607,A,black spruce,yes,NA,no,NA,1.5,NA,0,0,0,NA,
