_record_id,_title,_server_updated_at,_updated_by,_geometry,date,fire_scar,site,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes
4b782150-c7ec-40c3-9547-8e20ae2a96f1,"SLAT1, B",2025-07-27 01:15:39 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT1,B,B6,black spruce,13.5,6,
ccee6800-47e0-4892-8732-967d3f7d9b4b,"SLAT1, C",2025-07-27 01:15:39 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT1,C,C6,black spruce,12,2,
34e77f0f-51f6-482d-9c77-6faabe8fa026,"SLAT2, A",2025-07-27 01:34:21 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT2,A,A6,black spruce,13.3,3,
5086827c-97f7-419e-9ff5-e16d11d2b35a,"SLAT2, B",2025-07-27 01:15:38 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT2,B,B6,black spruce,13,4,
715311ba-d42b-4c41-b56b-6d8fb893aab1,"SLAT2, C",2025-07-27 01:15:38 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT2,C,C6,black spruce,12.9,5,
bf040082-c604-49cf-a1e4-4aa589363e80,"SLAT3, A",2025-07-27 00:26:14 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT3,A,A6,black spruce,6.5,4.5,
5a7a4e10-66ef-488a-8cae-7318472b9c2b,"SLAT3, B",2025-07-27 00:26:14 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT3,B,B6,black spruce,7,5,
cbb7b03d-d84a-4bf2-80f2-6429d13d60a5,"SLAT3, C",2025-07-27 00:26:15 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT3,C,C6,black spruce,9.1,3,
093fc6ec-a1f6-4a55-afcb-f3ed86f69445,"SLAT4, A",2025-07-28 02:23:28 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT4,A,SLAT4 A6,black spruce,10.2,1,
35f28deb-1088-4038-900f-b9412f3db392,"SLAT4, B",2025-07-28 02:23:29 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT4,B,SLAT4 B6,black spruce,14.3,3,
a89cbb43-77d4-49e9-aeda-feb09a7b3e12,"SLAT4, C",2025-07-28 02:23:29 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT4,C,SLAT4 B6,black spruce,11.8,2,
3d18e7f3-e177-43b1-bab4-0abc62cbad59,"SLAT5, A",2025-07-28 02:23:29 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT5,A,SLAT5 A6,black spruce,13.3,1,
3225685f-6c20-4fc8-b31c-16ae40564053,"SLAT5, B",2025-07-28 02:23:30 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT5,B,SLAT5 B6,black spruce,10.6,1,
a6d3edfa-276f-4395-8e1f-b920dddcb616,"SLAT5, C",2025-07-28 02:23:30 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT5,C,SLAT5 C6,black spruce,13.5,1,
a9970e6e-f16f-4482-bcad-12a3e935a244,"SLAT6, A",2025-07-28 02:23:31 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT6,A,SLAT6 A6,black spruce,13.3,9,
7b35342e-11aa-4651-a52a-a4179e1f50e1,"SLAT6, B",2025-07-28 02:23:31 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT6,B,SLAT6 B6,black spruce,19.4,0.5,
3bf71762-0c7d-4b60-a4ee-cbcd8dad86fa,"SLAT6, C",2025-07-28 02:23:32 UTC,Xanthe Walker,,2025-07-27,Slate,SLAT6,C,SLAT6 C6,black spruce,8.7,2,
cb19f98c-c558-4e4c-b342-1c88177712d5,"TROU1, A",2025-08-03 01:50:16 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU1,A,A6,black spruce,9.1,4,
96e2833b-e561-49de-9c01-4581edff4bea,"TROU1, B",2025-08-03 01:50:16 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU1,B,B6,black spruce,12.4,7,
c13307d7-0071-4953-a2b8-6d1b4ab4add5,"TROU1, C",2025-08-03 01:50:16 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU1,C,C6,black spruce,24,4,
5e368190-da0c-4192-9c45-4f1575f81c3b,"TROU2, A",2025-08-03 01:50:16 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU2,A,A6,black spruce,9.8,1,
21dc7afd-c5a9-4ca0-90f3-fae45f3031af,"TROU2, B",2025-08-03 01:50:17 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU2,B,B6,black spruce,13.6,2,
1ff4f6d2-17be-40e4-b161-0d9af6085387,"TROU2, C",2025-08-03 01:50:17 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU2,C,C6,black spruce,17.7,3,
579a7312-0c0f-48fd-97bc-ffd35eddf078,"TROU3, A",2025-08-03 01:50:17 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU3,A,A6,black spruce,19.4,5,
6f511484-f793-41fb-876a-25ee6602ecc3,"TROU3, B",2025-08-03 01:50:18 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU3,B,B6,black spruce,15.7,5,
1828d3de-3f7f-4922-b084-4cbdcb4242aa,"TROU3, C",2025-08-03 01:50:18 UTC,Xanthe Walker,,2025-08-02,Troublesome,TROU3,C,C6,black spruce,23.5,0.5,Big mother 
b9e39cfe-ac1f-4976-a06a-7c68730c0832,"TROU4, A",2025-08-06 01:14:37 UTC,Xanthe Walker,,2025-08-05,Troublesome,TROU4,A,A6,black spruce,12.3,1,Had to take closer to 9 m
1b8a813a-1029-44f3-af43-deef1d60a13d,"TROU4, B",2025-08-06 01:14:37 UTC,Xanthe Walker,,2025-08-05,Troublesome,TROU4,B,B6,black spruce,19.9,4,
51a2553a-d80f-4886-803c-ab33538a84d8,"TROU4, C",2025-08-06 01:14:37 UTC,Xanthe Walker,,2025-08-05,Troublesome,TROU4,C,C6,black spruce,14.1,3,Had to take closer to 9 m
8fcd2a2f-cfe9-4564-8a9f-9652542f08dd,"TROU5, A",2025-08-06 19:37:57 UTC,Xanthe Walker,,2025-08-06,Troublesome,TROU5,A,A6,black spruce,5.4,7,
519369c3-91b6-4d11-a525-ddf983068d2d,"TROU5, B",2025-08-06 19:37:57 UTC,Xanthe Walker,,2025-08-06,Troublesome,TROU5,B,B6,black spruce,10.8,1,
491bfed0-91f7-4783-950f-033dec0cf8dc,"TROU5, C",2025-08-06 19:37:57 UTC,Xanthe Walker,,2025-08-06,Troublesome,TROU5,C,C6,black spruce,10.6,2,
6d56a3bd-6615-4d00-aada-e819d09037ca,"YUCR1, A",2025-08-02 04:10:51 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR1,A,A6,black spruce,9.9,2,
5cd4c6c3-9411-4ab8-bd5f-94305c0a09e6,"YUCR1, B",2025-08-02 04:10:51 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR1,B,B6,black spruce,7.5,2,
898c9686-c80f-4811-a791-2e612610ac89,"YUCR1, C",2025-08-02 04:10:52 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR1,C,C6,black spruce,5.6,2,
c651861a-9abe-4c09-9daf-b6aafe242fbe,"YUCR2, A",2025-08-02 06:00:07 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR2,A,A6,black spruce,7.6,2,
