fire_scar,ID,sample_id,horizon,date_processed,prehomog_wet_mass,2-5_coarsewet_mass,above5_coarsewet_mass,rock_mass,rock_vol,tin_number,tin_mass,tin_wet_mass_110,archive_wet_mass,airdry_wet_mass,2-5_ drybag_mass,above5_coarsedry_mass,tin_dry_110,archive_dry_60,radiocarbon_sample,extra_rock_mass,extra_rock_volume,notes
McCoy Creek,181,McCr4A,M1,10/31/2024,193.858,0,0,0,0,66,0.956,20.459,60.697,47.137,0,0,11.234,32.496,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,182,McCr4A,M2,10/28/2024,266.533,0,0,0,0,1,1.028,20.777,60.743,81.983,0,0,12.614,38.463,1,,,
McCoy Creek,184,McCr4B,M1,10/30/2024,161.72,0.136,0,0,0,7,1.041,20.167,20.071,24.163,2.841,0,12.125,15.135,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,185,McCr4B,M2,10/31/2024,251.757,0,0,0,0,60,0.975,20.35,60.748,84.615,0,0,14.401,39.473,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,187,McCr4C,M1,10/30/2024,219.974,0.556,0,0,0,6,1.005,20.637,61.63,31.358,3.165,0,14.879,49.883,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,188,McCr4C,M2,10/28/2024,262.561,0.067,0,0.016,0.10,5,1.021,20.042,59.515,80.948,2.791,0,15.418,48.973,1,,,
McCoy Creek,191,McCr5B,M1,11/20/2024,255.18,0,0,0,0,4,1.02,21.03,64.11,74.24,0,0,15.69,49.91,1,,,nothing written for 2-5 & above5 CWD dry; plugged in 0 because of wet weights
McCoy Creek,192,McCr5B,M2,10/30/2024,276.804,0,0,0,0,9,1.002,22.176,60.831,99.224,0,0,15.712,45.441,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,194,McCr5C,M1,11/1/2024,240.86,0,0,0,0,62,0.99,20.76,57.82,68.51,0,0,14.562,43.923,1,,,
McCoy Creek,196,McCr6A,M1,10/29/2024,265.98,0,0,0,0,59,0.96,20.46,60.75,92.38,0,0,16.567,51.13,1,,,
McCoy Creek,197,McCr6A,M2,11/12/2024,279.41,0,0,0,0,80,0.968,20.649,60.655,102.368,0,0,16.091,50.892,1,,,
McCoy Creek,199,McCr6B,M1,10/30/2024,289.49,0,0,0,0,8,0.998,21.367,60.405,105.548,0,0,18.131,54.79,1,,,archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
McCoy Creek,200,McCr6B,M2,11/1/2024,340.58,0,0,0,0,55,1.00,20.45,60.04,173.28,0,0,17.017,46.202,1,,,labeled as 600 on archive and airdry bag; matched process date and tin number and re-labeled the bags as 200 (RC bag is still 600)
McCoy Creek,202,McCr6C,M1,11/12/2024,262.36,0,0,0,0,77,1.04,20.32,58.97,90.94,0,0,15.919,46.891,1,,,
Munson Creek,204,MuCr1A,M1,10/21/2024,208.149,2.672,2.721,0,0,18,1.028,21.028,61.708,54.141,3.87,3.40,9.41,28.40,1,,,small sample; RC<100g
Munson Creek,205,MuCr1A,M2,NA,230.758,0.088,0,0,0,1,1.029,18.466,65.204,147.225,2.752,0,7.088,26.523,0,,,
Munson Creek,207,MuCr1B,M1,10/18/2024,238.901,3.609,0.355,0,0,1,1.03,22.424,57.699,53.371,4.16,2.93,12.908,34.24,1,,,
Munson Creek,208,MuCr1B,M2,10/17/2024,254.45,0,0,0,0,31,2.12,20.80,60.28,73.57,0,0,11.867,34.52,1,,,
Munson Creek,210,MuCr1C,M1,10/17/2024,153.49,0.61,0,0,0,16,1.00,19.48,40.04,19.86,3.07,0,10.119,22.38,1,,,small sample
Munson Creek,211,MuCr1C,M2,10/16/2024,190.717,0,0,0,0,8,0.996,20.289,41.276,31.892,0,0,5.937,13.95,1,,,small sample
Munson Creek,214,MuCr2B,M1,9/26/2024,130.738,0,0,21.819,13.00,2,0.994,20.85,38.834,38.528,0,0,10.49,21.35,0,,,small sample
Munson Creek,216,MuCr2C,M1,10/24/2024,108.61,2.968,5.976,3.974,1.60,25,1.018,20.297,37.712,40.313,3.961,4.666,9.93,20.628,0,,,RC<100g
Munson Creek,218,MuCr3A,M1,11/14/2024,248.80,0,0,0,0,15,1.00,15.19,60.13,87.62,0,0,7.063,28.564,1,,,
Munson Creek,219,MuCr3A,M2,10/17/2024,221.458,0.202,0.305,0,0,13,1.012,20.595,61.177,44.909,2.84,2.87,10.961,32.84,1,,,
Munson Creek,221,MuCr3B,M1,10/23/2024,284.48,0,0,0,0,59,0.97,20.98,60.16,121.41,0,0,12.571,33.604,1,,,initially marked 10/18 but wasnt processed
Munson Creek,222,MuCr3B,M2,NA,283.577,0,0,0.256,0.20,3,1.003,23.185,63.719,95.121,0,0,12.997,36.67,1,,,
Munson Creek,224,MuCr3C,M1,11/7/2024,269.41,0.047,0.217,0,0,78,1.01,20.36,60.80,97.44,3.60,3.13,7.68,20.29,1,,,
Munson Creek,225,MuCr3C,M2,10/17/2024,392.35,0,0,0,0,18,0.99,20.41,102.49,166.92,0,0,7.618,36.28,1,,,"lots of sample, was frozen"
Munson Creek,227,MuCr4A,M1,10/25/2024,257.016,0,0,93.621,38.00,60,0.978,18.039,20.587,32.787,0,0,15.474,22.163,1,,,small sample; RC<100g
Munson Creek,228,MuCr4A,M2,11/1/2024,263.34,0,0,94.10,39.90,10,1.021,20.55,28.12,42.76,0,0,18.279,28.29,0,,,"small sample; all rocks, tin unhomogenized"
Munson Creek,230,MuCr4B,M1,10/31/2024,228.38,0,0,104.88,44.00,64,0.98,20.5,20.2,5.41,0,0,18.581,21.242,1,,,so many rocks; archive bag & tin left out overnight; tin kind of dried/dry. Put in oven @ 10am 11/01
Munson Creek,231,MuCr4B,M2,10/28/2024,346.79,0,0,176.30,72.00,4,1.02,20.6,20.92,22.03,0,0,18.825,22.036,1,,,lots of rocks
Munson Creek,233,MuCr4C,M1,10/29/2024,319.21,0,0,116.28,46.00,55,0.99,20.71,58.47,23.92,0,0,17.06,50.181,1,,,lots of rocks
Munson Creek,234,MuCr4C,M2,10/23/2024,399.61,0,0,113.189,42.00,26,1.048,20.699,60.407,112.645,0,0,19.449,53.382,1,,,
Munson Creek,236,MuCr5A,M1,10/25/2024,250.44,0.04,0,29.98,14.50,1,1.02,18.37,45.79,45.28,2.763,0,10.039,28.453,1,,,
Munson Creek,237,MuCr5A,M2,11/22/2024,213.96,0,0,68.32,31.80,11,1.02,17.83,27.71,31.44,0,0,14.287,27.962,1,,,"small sample, mostly rocks; dry archive larger than wet archive (+0.25g), wet weight could be incorrect"
Munson Creek,239,MuCr5B,M1,10/29/2024,207.481,0,0,40.539,17.00,2,0.993,15.554,40.901,34.625,0,0,9.888,30.15,1,,,small sample; RC<100g
Munson Creek,240,MuCr5B,M2,10/29/2024,380.529,0,0,94.814,29.00,62,0.978,20.398,60.173,125.85,0,0,17.562,49.601,1,,,
