"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"271","CCE","2024-08-01","Munson Creek","MuCr3","B",0,24,"Mineral",45,"Frozen Ground",25,"Mineral",12,11,7.5,"yes","MuCr3B",25,26,8,7,10,11,"",5,5,"Core","","",""
"272","CCE","2024-08-01","Munson Creek","MuCr3","B",0,51,"Mineral",62,"Frozen Ground",51,"Mineral",4,5,3,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Lightly burned sphagnum ",""
"273","CCE","2024-08-03","Teklanika","Tekl1","A",0,9.5,"Mineral",58,"Rock",18,"Mineral",5,2,NA,"yes","Tekl1A",10,8,8.5,9.5,9.5,9,"Depth uneven because mineral uneven and not because Anastasia is bad at her job",5,5,"Core","","","bf0ff937-9438-433c-8ff8-dac9d3df4cc8"
"274","CCE","2024-08-03","Teklanika","Tekl1","A",0,19,"Mineral",33,"Rock",20,"Mineral",4,4,5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"275","CCE","2024-07-31","Nugget Creek","NuCr4","B",NA,18,"Mineral",101,">100cm",13,"Mineral",23,30,35,"yes","NuCr4B",17,14,10,7,10,11,"Very crumbly bottom of sample, fell apart while sampling",5,5,"Core","","",""
"276","CCE","2024-07-31","Nugget Creek","NuCr4","B",NA,7,"Mineral",101,">100cm",18,"Mineral",24,6.5,12,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"277","CCE","2024-07-31","Nugget Creek","NuCr6","C",NA,7,"Mineral,Rock",71,"Rock",4,"Mineral",18,20,NA,"yes","NuCr6C",7,9,11.5,10,12,10,"",4.5,5,"Grab","Both m1 and m2 are grab samples, not measured volumetrically, estimated depths. 2 cm of rock removed between organic and mineral.","Sampling at 3.6 m because of cwd. AR measured on downed tree, AR SOL depth same as transect soil depth hole but depth for AR SOL recorded here does not include green moss ",""
"278","CCE","2024-07-31","Nugget Creek","NuCr6","C",NA,9.5,"Mineral",68,"Rock",4,"Mineral",30,30,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","AR measured on downed tree, AR SOL does not include green moss",""
"279","CCE","2024-07-18","Lost Horse","LoHo4","A",NA,2,"Mineral",54,"Rock",0.1,"Mineral",5,9,8,"yes","LoHo4A",2,1.5,5.5,7,7,6.5,"Vey thin burned organic layer",5,5,"Core","","",""
"280","CCE","2024-07-18","Lost Horse","LoHo4","A",NA,3.5,"Mineral",70,"Ice",9,"Mineral",13,18,8,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"281","CCE","2024-07-18","Lost Horse","LoHo4","A",NA,6,"Mineral",55,"Rock",0.5,"Mineral",28,18,17,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"282","CCE","2024-07-31","Nugget Creek","NuCr6","A",NA,3.5,"Mineral,Rock",93,"Rock",3.5,"Mineral",36,NA,NA,"yes","NuCr6A",8,3.5,13,12,11,11,"",10,5,"Both","Very rocky below organic, m1 is a grab sample of 10 cm of mineral rock mix, m2 is a volumetric sample of core taken below this mixture ","AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss",""
"283","CCE","2024-07-31","Nugget Creek","NuCr6","A",NA,6.5,"Mineral",36,"Rock",1.5,"Mineral",39,27,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","AR measured on downed tree, depth AR to bottom of tree roots. AR SOL depth is depth of burned organic to mineral, total depth of organic surface to mineral is 3 cm.",""
"284","CCE","2024-08-01","Munson Creek","MuCr2","B",0,24,"Rock",27,"Rock",8,"Rock",18,13,NA,"yes","MuCr2B",22,20,9,11,10,11,"",0,0,"Grab","Removed 10 cm of rock between org and min. Took grab sample below that, unknown depth. In M1 bag. Still very rocky. ","","787b3ef1-02c3-44cb-a3e9-75b74616630c"
"285","CCE","2024-08-01","Munson Creek","MuCr2","B",0,26,"Rock",26,"Rock",37,"Rock",23,34,26,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"286","CCE","2024-07-28","McCoy Creek","McCr5","A",NA,35,"Frozen Ground",35,"Frozen Ground",34,"Frozen Ground",1.5,3,3,"yes","McCr5A",37,38,9,8,14,12,"Frozen ground before mineral",0,0,NA,"No mineral samples, hit frozen ground before mineral for both transect and AR","",""
"287","CCE","2024-07-28","McCoy Creek","McCr5","A",NA,37,"Mineral,Frozen Ground",42,"Frozen Ground",37,"Frozen Ground,Mineral",8,10,13,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Tiny bit of mineral before frozen ground, AR and transect are same depth measurement hole",""
"288","CCE","2024-07-23","Hess Creek","HeCr4","B",NA,19,"Mineral",91,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"289","CCE","2024-07-23","Hess Creek","HeCr4","B",NA,28,"Mineral",95,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"290","CCE","2024-07-23","Hess Creek","HeCr4","B",NA,27,"Mineral",101,">100cm",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"291","CCE","2024-07-17","Shovel Creek","ShCr6","A",NA,2.5,"Mineral",8,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"292","CCE","2024-07-17","Shovel Creek","ShCr6","A",NA,14,"Mineral",41,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"293","CCE","2024-07-17","Shovel Creek","ShCr6","A",NA,8.5,"Mineral",9,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
